Dataset,Model,Accuracy,Precision,Recall,F1 Score,Training Time
Fingerprint,Logistic Regression,0.7048346055979644,0.7024601948310741,0.7048346055979644,0.7024793875684583,2.6688473224639893
Fingerprint,Linear SVM,0.7417302798982188,0.7398428597995071,0.7417302798982188,0.7391588142667025,8.276767492294312
Fingerprint,Random Forest,0.7519083969465649,0.754342912037086,0.7519083969465649,0.7497514947310195,55.280232191085815
Fingerprint,XGBoost,0.7837150127226463,0.7842282518255389,0.7837150127226463,0.7833750180773049,203.23290252685547
Traditional,Logistic Regression,0.6030534351145038,0.6009618860676628,0.6030534351145038,0.5990070498235098,8.390369653701782
Traditional,Linear SVM,0.638676844783715,0.6427136687613791,0.638676844783715,0.6329512325697149,7.663727283477783
Traditional,Random Forest,0.638676844783715,0.6460870024660063,0.638676844783715,0.6292942359504506,53.12584185600281
Traditional,XGBoost,0.6730279898218829,0.6736605034570187,0.6730279898218829,0.6713764433270548,208.90059232711792
