Dataset,Model,Accuracy,Precision,Recall,F1 Score,Training Time
Fingerprint,Logistic Regression,0.49363867684478374,0.490602379738443,0.49363867684478374,0.4913469819510812,0.3253293037414551
Fingerprint,Linear SVM,0.47837150127226463,0.4703638661557569,0.47837150127226463,0.47092284848983396,0.6034042835235596
Fingerprint,Random Forest,0.3905852417302799,0.3658707393763193,0.3905852417302799,0.3676111589334762,19.158809661865234
Fingerprint,XGBoost,0.4262086513994911,0.41104370756824127,0.4262086513994911,0.41272933765672387,12.937471866607666
Traditional,Logistic Regression,0.5050890585241731,0.5006869918173956,0.5050890585241731,0.5011528808146598,5.317252159118652
Traditional,Linear SVM,0.5025445292620865,0.48494065300784334,0.5025445292620865,0.4818494277882759,1.047269344329834
Traditional,Random Forest,0.4312977099236641,0.40634472169231983,0.4312977099236641,0.40760846067777634,18.345237493515015
Traditional,XGBoost,0.45674300254452926,0.4413837906649696,0.45674300254452926,0.4437785169395067,13.893500566482544
