Dataset,Model,Accuracy,Precision,Recall,F1 Score,Training Time
Fingerprint,Logistic Regression,0.7175572519083969,0.7172044747605205,0.7175572519083969,0.7172511423789727,0.37376928329467773
Fingerprint,Linear SVM,0.6857506361323156,0.6875913116334613,0.6857506361323156,0.6841801834779823,0.3112294673919678
Fingerprint,Random Forest,0.7608142493638677,0.7631274862120746,0.7608142493638677,0.7615138781661785,7.999693393707275
Fingerprint,XGBoost,0.7569974554707379,0.7604031044728042,0.7569974554707379,0.7574683141817147,2.448659896850586
Traditional,Logistic Regression,0.5534351145038168,0.5576712000749505,0.5534351145038168,0.5516135756239641,2.3071022033691406
Traditional,Linear SVM,0.5674300254452926,0.5751038675937643,0.5674300254452926,0.5615644797825369,0.08223199844360352
Traditional,Random Forest,0.6094147582697201,0.6113870600720277,0.6094147582697201,0.6079906856270219,2.3400919437408447
Traditional,XGBoost,0.5954198473282443,0.599968657115323,0.5954198473282443,0.5961157438021768,0.5138437747955322
