Dataset,Model,Accuracy,Precision,Recall,F1 Score,Training Time (s),Prediction Time (s)
Fingerprint,Logistic Regression,0.6564885496183206,0.6537906074499479,0.6564885496183206,0.6518789222017612,9.019511461257935,2.384185791015625e-07
Fingerprint,Linear SVM,0.6844783715012722,0.6816023221100724,0.6844783715012722,0.680170483198864,1.4723482131958008,4.76837158203125e-07
Fingerprint,Random Forest,0.648854961832061,0.6721040788778307,0.648854961832061,0.6422769047355286,34.96494913101196,2.384185791015625e-07
Fingerprint,XGBoost,0.6424936386768448,0.6656245249388869,0.6424936386768448,0.6446830521016833,283.403037071228,4.76837158203125e-07
Traditional,Logistic Regression,0.55470737913486,0.5518089708973511,0.55470737913486,0.5493879693607704,4.495648145675659,4.76837158203125e-07
Traditional,Linear SVM,0.5521628498727735,0.548595762285465,0.5521628498727735,0.5498168470714536,0.641087532043457,7.152557373046875e-07
Traditional,Random Forest,0.5458015267175572,0.5348963902535062,0.5458015267175572,0.531341965115947,30.49603843688965,2.384185791015625e-07
Traditional,XGBoost,0.5623409669211196,0.5651937431589872,0.5623409669211196,0.5575086644399384,182.0421130657196,2.384185791015625e-07
